smiles	cas
[N-]=[N+]=CC(=O)OCC(N)C(=O)O	1
[O-][N+](=O)c1ncc[nH]1	2
[O-][n+]1cccc(CO)c1	3
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1	4
Br.Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1	5
Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	6
Br.Cn1c(=O)c2c(ncn2C)n(C)c1=O	7
Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2	8
Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12	9
Br.CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2	10
Br.CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12	11
Br.COC(=O)C1=CCCN(C)C1	12
Br.COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3	13
Br.NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1	14
Brc1c(NC2=NCCN2)ccc2nccnc12	15
C#CC(C)(O)CC	16
C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC	17
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C	18
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	19
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C	20
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC	21
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C	22
C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	23
C#CC1(O)CCC2C3CCC4=CCCCC4C3CCC21C	24
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	25
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C	26
C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C	27
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC	28
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C	29
C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C	30
C#CCCCCCCCCCCCC(O)CC(O)CO	31
C#CCCCCCCCCCCCC(O)CC(O)CO.C=CCCCCCCCCCCCC(O)CC(O)CO	32
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O	33
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O.C=CCCCCCCCCCCCC(O)CC(O)COC(C)=O	34
C#CCN(C)C(C)Cc1ccccc1.Cl	35
C#CCN(C)Cc1ccccc1.Cl	36
C#CCN(C)CCCOc1ccc(Cl)cc1Cl.Cl	37
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1	38
C(=CN1CCN(C(c2ccccc2)c2ccccc2)CC1)Cc1ccccc1	39
C(CN1CCOCC1)Cc1ccc(COc2ccccc2)cc1	40
C(Oc1cccc2C=CCc12)C1CNCCO1	41
C(Oc1ccccc1C1CC1)C1=NCCN1	42
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)=C(N2C1=O)C(O)=O	43
C[C@@H](O)[C@@H]1[C@H]2CC(SCCNC=N)=C(N2C1=O)C(O)=O	44
C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@H](CC[C@@]3(O)C#C)C12	45
C[C@@H]1CCCN1CCc1cc2cc(ccc2o1)-c1ccc(cc1)C#N	46
C[C@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12	47
C[C@H]1CN([C@H](C)CN1Cc1ccc(F)cc1)C(=O)c1cc2c(cn(C)c2cc1Cl)C(=O)C(=O)N(C)C	48
C[N+](C)(C)CC(=O)[O-].Cl	49
C[N+](C)(C)CC(O)CC(=O)[O-]	50
C[N+](C)(C)CC(O)CC(=O)O.[Cl-]	51
C[N+](C)(C)CCCCCC[N+](C)(C)C.[Br-].[Br-]	52
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-]	53
C[N+](C)(C)CCO.[Cl-]	54
C[N+](C)(C)CCO.Cn1c(=O)c2[n-]cnc2n(C)c1=O	55
C[N+](C)(C)CCOC(N)=O.[Cl-]	56
C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O	57
C[N+](C)(CCOc1ccccc1)Cc1ccccc1.O=C([O-])c1cc2ccccc2cc1O	58
C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	59
C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12.[Br-]	60
C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.O=[N+]([O-])[O-]	61
C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2.[Br-]	62
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-]	63
C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1.[Br-]	64
C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1.O=C([O-])C(O)C(O)C(=O)O.O=C([O-])C(O)C(O)C(=O)O	65
C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-]	66
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-]	67
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3.[Cl-]	68
C[n+]1cccc(C(=O)[O-])c1	69
C[n+]1ccccc1C=NO.[Cl-]	70
C[Se]CCC(N)C(=O)O	71
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	72
C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C	73
C=C(C)C1CC=C(C(=O)O)CC1	74
C=C(C)C1CC=C(C)CC1	75
C=C(C)C1CC=C(CO)CC1	76
C=C(C)C1Cc2c(ccc3c(=O)c4c(oc23)COc2cc(OC)c(OC)cc2-4)O1	77
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1	78
C=C(C)c1cc2cc(C(C)=O)c(O)cc2o1	79
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12	80
C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12	81
C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(OC(C)=O)C(C)(C)C5CCC43C)C12	82
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12	83
C=C(C)C1COc2cc3oc(=O)ccc3cc2O1	84
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	85
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl	86
C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)C(=CC)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O	87
C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21	88
C=C1C(=O)OC2CC3(C)CCCC(C)C3=CC12	89
C=C1C(C2(C)C=CC(=O)C(C)(C)C2CC(=O)OC)CCC2(C)C(c3ccoc3)OC(=O)C3OC132	90
C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21.O	91
C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(=O)C(C)(C)C(C(O)C(=O)OC)C12C	92
C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(O)C(C)(C)C(CC(=O)OC)C12C	93
C=C1CC=C(C)CCC2C1CC2(C)C	94
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O	95
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12	96
C=C1CC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC2(C)C1(OC(C)=O)C(C)=O	97
C=C1CCC(=O)C(C)CCC2C1CC2(C)C	98
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C	99
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C	100
C=C1CCC=C(C)CCC2C1CC2(C)C.O	101
C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O	102
C=C1CCC2C(CC2(C)C)C(=O)CCC1O	103
C=CC(C)(O)CCC=C(C)C	104
C=CC(C)(O)CCC=C(C)CCC=C(C)C	105
C=CC(C)(O)CCC1C(=C)CC(OC(C)=O)C2C(C)(C)CCCC12C	106
C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C	107
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(O)cc1	108
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(OC)cc1	109
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccccc1	110
C=CC(C1=CC(=O)C=CC1=O)c1ccccc1	111
C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1.[Br-]	112
C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O	113
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(O)C(O)C1C(C)(C)CCC(O)C12C	114
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C	115
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1	116
C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O	117
C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)c(CCC(=O)O)c4C)c(C)c3C=C	118
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	119
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.Cl	120
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.O=C(O)C(O)C(O)C(O)C(O)CO	121
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12	122
C=CC1CN2CCC1CC2C(OC(=O)OCC)c1ccnc2ccc(OC)cc12	123
C=CCC1(C(C)CCC)C(=O)N=C([S-])NC1=O.[Na+]	124
C=CCC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21C	125
C=CCC1(O)CCC2C3CCC4=CCCCC4C3CCC21C	126
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC	127
C=CCc1cc(OC)c2c(c1OC)OCO2	128
C=CCc1ccc(O)c(OC)c1	129
C=CCc1ccc(OC)cc1	130
C=CCc1ccc2c(c1)OCO2	131
C=CCc1ccccc1OCC(O)CNC(C)C.Cl	132
C=CCCCCCCCCC(=O)[O-].C=CCCCCCCCCC(=O)[O-].[Zn+2]	133
C=CCCCCCCCCC(=O)O	134
C=CCCCCCCCCCCCC(O)CC(O)CO	135
C=CCCCCCCCCCCCc1ccco1	136
C=CCN=C=S	137
C=CCN1CC[C@H]2[C@@H]1CCN2S(=O)(=O)Cc1ccccc1	138
