SMILES,y_pred_adjust,CAS,Anti
S=P(N1CC1)(N1CC1)N1CC1,0.002489956,2621,0
S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,0.029001636,2620,0
S=c1[nH]cnc2nc[nH]c12,0.18791221,2619,0
S=C=NCc1ccccc1,0.09556842,2618,0
S=C=Nc1ccc(N=C=S)cc1,0.1251643,2617,0
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,0.053743184,2616,0
O=C1Nc2c(ccc(Cl)c2Cl)C1=NO,0.6752724,2615,0
OCCSCCO,0.008403818,2614,0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.007524733,2613,0
O=S(=O)(NC1CC2(CCN(CCO)CC2)Oc2ccccc21)C1CC1,0.003233648,2612,0
OCCN1CC(O)C(O)C(O)C1CO,0.0031085932,2611,0
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0.29997218,2610,0
O=C(NCCCO)c1cc(-c2ccn(C3CCCC3)n2)n2ccccc12,0.41428676,2609,0
OCCc1ccccc1,0.07186364,2608,0
OCCC[n+]1ccccc1,0.079688415,2866,0
OCC1OC(OCCc2ccc(O)cc2)C(O)C(O)C1O,0.00056126365,2607,0
OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,0.003715404,2606,0
OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,0.00083247956,2605,0
OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,0.0012714295,2604,0
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,0.003211898,2602,0
OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,0.0007857483,2601,0
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,0.06283956,2600,0
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,0.00069785793,2596,0
OCc1ccccc1O,0.12202598,2595,0
OCc1ccccc1,0.11066842,2594,0
OCc1c[nH]c2ccccc12,0.11976133,2593,0
OCC1(O)OCC(O)C(O)C1O,0.00084885076,2592,0
OCC[n+]1ccccc1,0.043113712,2859,0
CC[N+](CC)(CC)CCO,0.0029746026,2854,0
OCC(S)CS,0.0037264675,2591,0
OCC(O)CO,0.006904554,2590,0
OCC(O)CN1CCN(c2ccccc2)CC1,0.0012818554,2589,0
OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,0.011112834,2588,0
OCC(O)C(O)CO,0.0012172903,2587,0
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.00098767,2586,0
OCC(O)C(O)C(O)CO,0.0006927801,2585,0
OCC(O)C(O)C(O)C(O)CO,0.0006311207,2584,0
OCC(O)C(O)C(O)C(O)C(O)CO,0.0005665106,2583,0
O=P(O)(O)OC(CO)CO,0.006514847,2582,0
OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,0.000365152,2581,0
OCC(Br)(Br)Br,0.042884693,2580,0
OC1OC(c2ccc(Cl)c(Cc3ccc(OC4CCOC4)cc3)c2)C(O)C(O)C1O,0.0015153845,2579,0
Oc1ncc(F)cn1,0.17828411,2578,0
Oc1ccccc1,0.19868314,2576,0
Oc1cccc(O)c1,0.21394904,2575,0
Oc1ccc2ccccc2c1,0.23478483,2574,0
Oc1ccc(OCc2ccccc2)cc1,0.059345346,2572,0
Oc1ccc(O)cc1,0.21223955,2571,0
O=S(=O)(c1ccccc1)N1CC2CN(Cc3ccc(O)cc3)CC2C1,0.0014786765,2569,0
O=S(=O)(c1ccccc1)N1CC2CN(Cc3ccc(O)cc3)C2C1,0.0018271845,2568,0
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,0.5254477,2567,0
Oc1ccc(Cl)cc1,0.24949238,2566,0
Oc1ccc(Cl)c2cccnc12,0.46201494,2565,0
N#CC(Cc1ccc(O)cc1)c1ccc(O)cc1,0.033620153,2564,0
Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1,0.0053076344,2563,0
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,0.11661247,2562,0
[O-][N+]c1ccc(O)c2ncccc12,0.15953062,2561,0
Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1.[Cl-],0.117053635,2559,0
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0.0056537907,2558,0
Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1cc(O)c(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1cc(O)c(O)c(O)c1)C(O)C2,3.0936022e-05,2557,0
Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,0.0068496973,2556,0
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,0.62602174,2802,1
