Anti,smiles,cas
0,S=P(N1CC1)(N1CC1)N1CC1,2621
0,S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,2620
0,S=c1[nH]cnc2nc[nH]c12,2619
0,S=C=NCc1ccccc1,2618
0,S=C=Nc1ccc(N=C=S)cc1,2617
0,ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1,2616
0,ON=C1C(=O)Nc2c1ccc(Cl)c2Cl,2615
0,OCCSCCO,2614
0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2613
0,OCCN1CCC2(CC1)CC(NS(=O)(=O)C1CC1)c1ccccc1O2,2612
0,OCCN1CC(O)C(O)C(O)C1CO,2611
0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,2610
0,OCCCNC(=O)c1cc(-c2ccn(n2)C2CCCC2)n2ccccc12,2609
0,OCCc1ccccc1,2608
0,OCCC[N+]1=CC=CC=C1,2866
0,OCC1OC(OCCc2ccc(O)cc2)C(O)C(O)C1O,2607
0,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,2606
0,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,2605
0,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,2604
0,OCC1OC(OC2C(O)C(CO)OC2(CO)OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,2603
0,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2602
0,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,2601
0,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,2600
0,OCC1OC(O)(CO)C(O)C1O,2599
0,OCC1CCCN2CCCCC12,2598
0,OCc1ccccn1,2597
0,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,2596
0,OCc1ccccc1O,2595
0,OCc1ccccc1,2594
0,OCc1c[nH]c2ccccc12,2593
0,OCC1(O)OCC(O)C(O)C1O,2592
0,OCC[N+]1=CC=CC=C1,2859
0,OCC[N+](CC)(CC)CC,2854
0,OCC(S)CS,2591
0,OCC(O)CO,2590
0,OCC(O)CN1CCN(c2ccccc2)CC1,2589
0,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,2588
0,OCC(O)C(O)CO,2587
0,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2586
0,OCC(O)C(O)C(O)CO,2585
0,OCC(O)C(O)C(O)C(O)CO,2584
0,OCC(O)C(O)C(O)C(O)C(O)CO,2583
0,OCC(CO)OP(O)(O)=O,2582
0,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,2581
0,OCC(Br)(Br)Br,2580
0,OC1OC(c2ccc(Cl)c(Cc3ccc(OC4CCOC4)cc3)c2)C(O)C(O)C1O,2579
0,Oc1ncc(F)cn1,2578
0,Oc1ccnc(S)n1,2577
0,Oc1ccccc1,2576
0,Oc1cccc(O)c1,2575
0,Oc1ccc2ccccc2c1,2574
0,Oc1ccc2c(c1)OCC1(O)Cc3cc(O)c(O)cc3C21,2573
0,Oc1ccc(OCc2ccccc2)cc1,2572
0,Oc1ccc(O)cc1,2571
0,Oc1ccc(CN2CCC3(CCCN3S(=O)(=O)c3ccccc3)CC2)cc1,2570
0,Oc1ccc(CN2CC3CN(CC3C2)S(=O)(=O)c2ccccc2)cc1,2569
0,Oc1ccc(CN2CC3CN(CC23)S(=O)(=O)c2ccccc2)cc1,2568
0,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,2567
0,Oc1ccc(Cl)cc1,2566
0,Oc1ccc(Cl)c2cccnc12,2565
0,Oc1ccc(CC(C#N)c2ccc(O)cc2)cc1,2564
0,Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1,2563
0,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,2562
0,Oc1ccc([N+][O-])c2cccnc12,2561
0,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,2560
0,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1.[Cl-],2559
0,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,2558
0,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1cc(O)c(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1cc(O)c(O)c(O)c1)C(O)C2,2557
0,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,2556
1,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,2802
0,OC1C(O)C(O)C(O)C(O)C1O,2555
0,Oc1c(I)cc(I)c2cccnc12,2554
0,Oc1c(I)cc(Cl)c2cccnc12,2553
0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,2552
1,Oc1c(Cl)cc(Cl)c2cccnc12,2801
1,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,2800
0,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2551
0,Oc1c(Br)cc(Br)c2cccnc12,2550
0,OC1C(=O)C(=O)C(O)C(=O)C1=O,2549
0,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,2548
0,OC(COc1ccccc1-c1ccccc1)CC(=N)N1CCCCC1,2547
0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,2546
0,OC(CC[N+]1=CC=CC=C1)=O,2876
0,OC(C[N+]1=CC=CC=C1)=O,2869
0,OC(=O)CN1CCC2(CC(CO2)c2ncccc2F)C1,2545
0,OC(=O)CCCc1c[nH]c2ccccc12,2544
0,OC(=O)CCc1c[nH]c2ccccc12,2543
1,OC(=O)c1cn(C2CC2)c2c(C#N)c(N3C[C@@H]4NCCO[C@H]4C3)c(F)cc2c1=O,2799
0,OC(=O)C1CCN(CC1)c1ncc(cc1Cl)C(=O)Nc1nc(-c2cc(Cl)cs2)c(s1)N1CCN(CC1)C1CCCCC1,2542
0,OC(=O)c1ccccc1OP(O)(O)=O,2541
0,OC(=O)\C=C\c1c[nH]cn1,2540
0,OC(=O)\C=C/c1c[nH]cn1,2539
1,O1[n+]2ccccc2S[Zn]11O[n+]2ccccc2S1,2798
0,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,2538
0,O=S1(=O)N[C@H]2CCCN2c2ccccc12,2537
0,O=S1(=O)N(CC2CC2)CC2(CCN(Cc3ccccc3)CC2)COc2ccccc12,2536
